Feature,Value,P,Cases,Entropy
Pclass,1,0.21,"[2, 4, 7, 12, 24, 28, 31, 32, 35, 36, 53, 55, 56, 62, 63, 65, 84, 89, 93, 97, 98]",0.5293608652873644
Pclass,2,0.19,"[10, 16, 18, 21, 22, 34, 42, 44, 54, 57, 59, 67, 71, 73, 79, 82, 85, 99, 100]",0.5293608652873644
Pclass,3,0.6,"[1, 3, 5, 6, 8, 9, 11, 13, 14, 15, 17, 19, 20, 23, 25, 26, 27, 29, 30, 33, 37, 38, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50, 51, 52, 58, 60, 61, 64, 66, 68, 69, 70, 72, 74, 75, 76, 77, 78, 80, 81, 83, 86, 87, 88, 90, 91, 92, 94, 95, 96]",0.6343095546405662
Sex,male,0.6,"[1, 5, 6, 7, 8, 13, 14, 17, 18, 21, 22, 24, 27, 28, 30, 31, 34, 35, 36, 37, 38, 43, 46, 47, 49, 51, 52, 55, 56, 58, 60, 61, 63, 64, 65, 66, 68, 70, 71, 73, 74, 75, 76, 77, 78, 79, 81, 82, 87, 88, 90, 91, 92, 93, 94, 95, 96, 97, 98, 100]",0.36592365090022333
Sex,female,0.4,"[2, 3, 4, 9, 10, 11, 12, 15, 16, 19, 20, 23, 25, 26, 29, 32, 33, 39, 40, 41, 42, 44, 45, 48, 50, 53, 54, 57, 59, 62, 67, 69, 72, 80, 83, 84, 85, 86, 89, 99]",0.9149263727797275
Age,young,0.29,"[8, 10, 11, 13, 15, 17, 18, 23, 25, 28, 29, 39, 40, 44, 45, 48, 50, 51, 56, 59, 60, 64, 68, 69, 72, 79, 85, 87, 92]",0.584238811642856
Age,old,0.21,"[7, 12, 16, 20, 27, 30, 32, 33, 34, 36, 47, 49, 53, 55, 63, 65, 83, 93, 95, 96, 97]",0.36592365090022333
Age,middle,0.5,"[1, 2, 3, 4, 5, 6, 9, 14, 19, 21, 22, 24, 26, 31, 35, 37, 38, 41, 42, 43, 46, 52, 54, 57, 58, 61, 62, 66, 67, 70, 71, 73, 74, 75, 76, 77, 78, 80, 81, 82, 84, 86, 88, 89, 90, 91, 94, 98, 99, 100]",0.7014714598838974
SibSp,0,0.59,"[3, 5, 6, 7, 9, 12, 13, 15, 16, 18, 20, 21, 22, 23, 24, 27, 29, 30, 31, 33, 34, 37, 38, 43, 45, 46, 48, 52, 55, 56, 57, 58, 61, 62, 65, 67, 68, 71, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 88, 90, 91, 92, 95, 96, 97, 98, 99]",0.8112781244591328
SibSp,1,0.27,"[1, 2, 4, 10, 11, 14, 19, 26, 32, 35, 36, 40, 41, 42, 44, 47, 50, 53, 54, 59, 63, 66, 74, 87, 93, 94, 100]",0.5293608652873644
SibSp,2,0.03,"[39, 49, 70]",-0.0
SibSp,3,0.06,"[8, 25, 28, 64, 86, 89]",0.14144054254182067
SibSp,4,0.03,"[17, 51, 69]",0.08079313589591118
SibSp,5,0.02,"[60, 72]",-0.0
Parch,0,0.77,"[1, 2, 3, 4, 5, 6, 7, 10, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 52, 53, 54, 56, 57, 58, 61, 62, 63, 65, 67, 68, 70, 71, 73, 74, 75, 76, 77, 78, 80, 81, 82, 83, 84, 85, 86, 88, 90, 91, 92, 93, 95, 96, 97, 100]",0.8687212463394045
Parch,1,0.09,"[8, 11, 17, 25, 51, 55, 66, 98, 99]",0.24229218908241482
Parch,2,0.11,"[9, 28, 44, 59, 60, 64, 69, 72, 79, 89, 94]",0.32744491915447627
Parch,3,0.01,[87],-0.0
Parch,5,0.02,"[14, 26]",0.08079313589591118
